,,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,113,44,44,44
Precinct,114,35,35,35
Precinct,115,53,53,53
Precinct,116,51,51,51
Precinct,117,16,16,16
Precinct,118,30,30,30
Precinct,119,28,28,28
Precinct,120,6,6,6
Precinct,121,7,7,7
Precinct,122,41,41,41
Precinct,123,44,44,44
Precinct,124,36,36,36
Precinct,125,47,47,47
Precinct,126,36,36,36
Precinct,127,29,29,29
Precinct,128,39,39,39
Precinct,129,22,22,22
Precinct,130,54,54,54
Precinct,131,23,23,23
Precinct,132,31,31,31
Precinct,133,6,6,6
Precinct,134,21,21,21
Precinct,135,20,20,20
Precinct,136,22,22,22
Precinct,137,17,17,17
Precinct,138,12,12,12
Precinct,139,49,49,49
Precinct,140,20,20,20
Precinct,141,51,51,51
Precinct,142,24,24,24
Precinct,143,31,31,31
Precinct,144,*,0,0
Precinct,145,*,0,0
Precinct,146,15,15,15
Precinct,147,11,11,11
Precinct,148,45,45,45
Precinct,149,30,30,30
Precinct,150,32,32,32
Precinct,151,*,0,0
Precinct,152,33,33,33
Precinct,153,34,34,34
Precinct,154,*,0,0
Precinct,155,13,13,13
Precinct,156,*,0,0
Precinct,157,11,11,11
Precinct,158,7,7,7
Precinct,159,6,6,6
Precinct,160,*,0,0
Precinct,161,28,28,28
Precinct,162,17,17,17
Precinct,163,*,0,0
Precinct,164,7,7,7
Precinct,165,8,8,8
Precinct,166,16,16,16
Precinct,167,*,*,5
Precinct,168,*,0,0
Precinct,169,*,0,0
Precinct,170,*,0,0
Precinct,171,26,26,26
Precinct,172,24,24,24
Precinct,173,22,22,22
Precinct,174,12,12,12
Precinct,175,27,27,27
Precinct,176,40,40,40
Precinct,177,33,33,33
Precinct,178,26,26,26
Precinct,179,15,15,15
Precinct,180,13,13,13
Precinct,181,27,27,27
Precinct,182,42,42,42
Precinct,183,9,9,9
Precinct,184,11,11,11
