,,Yvette Herrell,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,3 - Lordsburg/east,*,0,0
Precinct,4 - Virden,30,30,30
Precinct,5 - Rodeo,27,27,27
Precinct,6 - Animas,44,44,44
Precinct,7- Lordsburg North/west,13,13,13
Precinct,8 - South Animas/South Lordsburg,21,21,21
Precinct,9- Animas/ Central,27,27,27
Precinct,10- Lordsburg Northeast,*,0,0
Precinct,11- Lordsburg Southwest,20,20,20
Precinct,12- Lordsburg,20,20,20
Precinct,Voter Privacy,*,*,1
County,Lea,695,695,695
Precinct,36,32,32,32
Precinct,41,94,94,94
Precinct,43,85,85,85
Precinct,50,27,27,27
Precinct,53,9,9,9
Precinct,54,12,12,12
Precinct,55,11,11,11
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,62,60,60,60
Precinct,71,78,78,78
Precinct,72,119,119,119
Precinct,73,104,104,104
Precinct,74,60,60,60
Precinct,Voter Privacy,*,*,4
County,Luna,899,899,899
Precinct,1,28,28,28
Precinct,2,79,79,79
Precinct,3,83,83,83
Precinct,4,30,30,30
Precinct,5,63,63,63
Precinct,6,61,61,61
Precinct,7,33,33,33
Precinct,8,13,13,13
Precinct,9,44,44,44
Precinct,10,37,37,37
Precinct,11,39,39,39
Precinct,12,33,33,33
Precinct,13,106,106,106
Precinct,14,74,74,74
Precinct,15,*,0,0
Precinct,16,84,84,84
Precinct,17,39,39,39
Precinct,18,53,53,53
Precinct,Voter Privacy,0,0,0
County,McKinley,77,77,77
Precinct,26,62,62,62
Precinct,27,*,0,0
Precinct,29,*,0,0
Precinct,30,6,6,6
Precinct,64,*,0,0
Precinct,66,*,0,0
Precinct,Voter Privacy,9,9,9
County,Otero,3871,3871,3871
Precinct,1,*,0,0
Precinct,2,*,0,0
Precinct,3,15,15,15
Precinct,4,26,26,26
Precinct,5,39,39,39
Precinct,6,40,40,40
Precinct,7,61,61,61
Precinct,8,105,105,105
Precinct,9,118,118,118
Precinct,10,157,157,157
Precinct,11,*,0,0
Precinct,12,138,138,138
Precinct,13,89,89,89
Precinct,14,69,69,69
Precinct,15,120,120,120
Precinct,16,*,0,0
Precinct,17,81,81,81
Precinct,18,98,98,98
Precinct,19,13,13,13
Precinct,20,23,23,23
Precinct,21,159,159,159
Precinct,22,28,28,28
Precinct,23,50,50,50
Precinct,24,140,140,140
Precinct,25,124,124,124
Precinct,26,44,44,44
Precinct,27,94,94,94
Precinct,28,80,80,80
Precinct,29,60,60,60
Precinct,30,54,54,54
Precinct,31,41,41,41
Precinct,32,35,35,35
Precinct,33,42,42,42
Precinct,34,47,47,47
Precinct,35,67,67,67
Precinct,36,96,96,96
Precinct,37,54,54,54
Precinct,38,15,15,15
Precinct,39,104,104,104
Precinct,40,107,107,107
Precinct,41,*,0,0
Precinct,42,8,8,8
Precinct,43,*,0,0
Precinct,44,*,0,0
Precinct,45,*,0,0
Precinct,46,*,*,5
Precinct,47,25,25,25
Precinct,48,44,44,44
Precinct,49,118,118,118
Precinct,50,21,21,21
Precinct,51,88,88,88
Precinct,52,88,88,88
Precinct,53,77,77,77
Precinct,54,103,103,103
Precinct,55,123,123,123
Precinct,57,121,121,121
Precinct,58,12,12,12
Precinct,59,*,*,5
Precinct,60,63,63,63
Precinct,61,51,51,51
Precinct,62,83,83,83
Precinct,63,33,33,33
Precinct,64,44,44,44
Precinct,65,96,96,96
Precinct,66,*,0,0
Precinct,Voter Privacy,30,30,30
County,Sierra,975,975,975
Precinct,1,111,111,111
Precinct,2,185,185,185
Precinct,3,78,78,78
Precinct,4,79,79,79
Precinct,5,67,67,67
Precinct,6,10,10,10
Precinct,7,56,56,56
Precinct,8,63,63,63
Precinct,9,25,25,25
Precinct,10,113,113,113
Precinct,11,79,79,79
Precinct,12,109,109,109
Precinct,Voter Privacy,0,0,0
County,Socorro,821,821,821
Precinct,1,44,44,44
Precinct,2,30,30,30
Precinct,3,44,44,44
Precinct,4,20,20,20
Precinct,5,24,24,24
Precinct,6,45,45,45
Precinct,7,*,*,5
Precinct,8,65,65,65
Precinct,9,19,19,19
Precinct,10,9,9,9
Precinct,11,90,90,90
Precinct,12,12,12,12
Precinct,13,74,74,74
Precinct,14,34,34,34
Precinct,15,24,24,24
Precinct,16,7,7,7
Precinct,17,9,9,9
Precinct,18,53,53,53
Precinct,19,54,54,54
