,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,593,86,86,86
Precinct,594,74,74,74
Precinct,595,72,72,72
Precinct,596,30,30,30
Precinct,597,35,35,35
Precinct,598,19,19,19
Precinct,599,55,55,55
Precinct,600,24,24,24
Precinct,601,62,62,62
Precinct,602,51,51,51
Precinct,603,86,86,86
Precinct,604,27,27,27
Precinct,605,34,34,34
Precinct,606,48,48,48
Precinct,607,50,50,50
Precinct,608,35,35,35
Precinct,609,35,35,35
Precinct,610,28,28,28
Precinct,611,31,31,31
Precinct,612,48,48,48
Precinct,613,50,50,50
Precinct,614,75,75,75
Precinct,615,53,53,53
Precinct,616,16,16,16
Precinct,617,27,27,27
Precinct,618,97,97,97
Precinct,619,25,25,25
Precinct,620,12,12,12
Precinct,621,41,41,41
Precinct,622,63,63,63
Precinct,623,37,37,37
Precinct,624,61,61,61
Precinct,625,48,48,48
Precinct,626,59,59,59
Precinct,627,13,13,13
Precinct,628,23,23,23
Precinct,629,43,43,43
Precinct,630,45,45,45
Precinct,631,17,17,17
Precinct,632,38,38,38
Precinct,633,52,52,52
Precinct,634,78,78,78
Precinct,635,32,32,32
Precinct,636,40,40,40
Precinct,637,28,28,28
Precinct,638,26,26,26
Precinct,639,51,51,51
Precinct,640,53,53,53
Precinct,641,19,19,19
Precinct,642,30,30,30
Precinct,643,59,59,59
Precinct,644,55,55,55
Precinct,645,32,32,32
Precinct,646,45,45,45
Precinct,647,25,25,25
Precinct,648,61,61,61
Precinct,649,71,71,71
Precinct,650,39,39,39
Precinct,651,44,44,44
Precinct,652,11,11,11
Precinct,653,9,9,9
Precinct,654,47,47,47
Precinct,655,29,29,29
Precinct,656,28,28,28
Precinct,657,32,32,32
Precinct,658,30,30,30
Precinct,659,43,43,43
Precinct,660,27,27,27
Precinct,661,56,56,56
Precinct,662,56,56,56
Precinct,663,34,34,34
Precinct,664,15,15,15
Precinct,665,46,46,46
Precinct,666,46,46,46
Precinct,667,24,24,24
Precinct,668,45,45,45
Precinct,669,38,38,38
Precinct,670,107,107,107
Precinct,671,42,42,42
Precinct,672,13,13,13
Precinct,673,31,31,31
Precinct,674,46,46,46
Precinct,675,29,29,29
Precinct,676,36,36,36
Precinct,677,18,18,18
Precinct,678,19,19,19
Precinct,679,48,48,48
Precinct,680,48,48,48
Precinct,681,52,52,52
Precinct,682,43,43,43
Precinct,683,26,26,26
Precinct,684,14,14,14
Precinct,685,34,34,34
Precinct,686,44,44,44
Precinct,687,24,24,24
Precinct,Voter Privacy,*,*,3
County,Catron,162,162,162
Precinct,1,25,25,25
Precinct,2,23,23,23
Precinct,3,30,30,30
Precinct,4,10,10,10
Precinct,5,19,19,19
Precinct,6,*,*,5
Precinct,7,25,25,25
Precinct,8,14,14,14
Precinct,9,11,11,11
Precinct,Voter Privacy,0,0,0
County,Chaves,930,930,930
Precinct,1,9,9,9
Precinct,2,21,21,21
Precinct,3,17,17,17
Precinct,4,30,30,30
Precinct,5,18,18,18
Precinct,6,21,21,21
Precinct,7,26,26,26
Precinct,8,18,18,18
Precinct,9,6,6,6
Precinct,10,15,15,15
Precinct,11,11,11,11
Precinct,12,7,7,7
Precinct,13,27,27,27
Precinct,14,29,29,29
Precinct,15,11,11,11
Precinct,16,13,13,13
Precinct,17,20,20,20
Precinct,18,21,21,21
Precinct,20,16,16,16
Precinct,21,31,31,31
Precinct,22,28,28,28
Precinct,23,8,8,8
Precinct,24,8,8,8
Precinct,25,21,21,21
Precinct,31,15,15,15
Precinct,32,17,17,17
Precinct,33,9,9,9
Precinct,34,11,11,11
Precinct,35,21,21,21
Precinct,36,19,19,19
Precinct,40,*,0,0
Precinct,41,27,27,27
Precinct,42,9,9,9
Precinct,43,21,21,21
Precinct,44,*,0,0
Precinct,45,*,0,0
Precinct,46,*,0,0
Precinct,47,*,0,0
Precinct,51,9,9,9
Precinct,52,22,22,22
Precinct,61,15,15,15
Precinct,62,10,10,10
Precinct,63,12,12,12
Precinct,64,23,23,23
Precinct,71,13,13,13
Precinct,72,10,10,10
Precinct,73,9,9,9
Precinct,74,6,6,6
Precinct,81,14,14,14
Precinct,82,18,18,18
Precinct,83,7,7,7
Precinct,84,16,16,16
Precinct,85,11,11,11
Precinct,90,25,25,25
Precinct,91,32,32,32
Precinct,92,10,10,10
Precinct,93,30,30,30
Precinct,94,*,0,0
Precinct,95,7,7,7
Precinct,101,12,12,12
Precinct,102,16,16,16
Precinct,103,11,11,11
Precinct,104,*,0,0
Precinct,105,*,0,0
Precinct,106,*,0,0
Precinct,Voter Privacy,12,12,12
County,Cibola,1945,1945,1945
Precinct,1,*,0,0
Precinct,2,48,48,48
Precinct,3,21,21,21
Precinct,4,39,39,39
Precinct,5,121,121,121
Precinct,6,9,9,9
Precinct,7,97,97,97
Precinct,8,84,84,84
Precinct,9,123,123,123
Precinct,10,91,91,91
Precinct,11,169,169,169
Precinct,12,71,71,71
Precinct,13,49,49,49
Precinct,14,52,52,52
Precinct,15,46,46,46
Precinct,16,67,67,67
Precinct,17,172,172,172
Precinct,18,43,43,43
Precinct,19,41,41,41
Precinct,20,96,96,96
Precinct,21,37,37,37
Precinct,22,58,58,58
Precinct,23,14,14,14
Precinct,24,65,65,65
Precinct,25,27,27,27
Precinct,26,81,81,81
Precinct,27,28,28,28
Precinct,28,81,81,81
Precinct,29,92,92,92
Precinct,30,20,20,20
Precinct,Voter Privacy,*,*,3
County,Colfax,689,689,689
Precinct,1,31,31,31
Precinct,2,50,50,50
Precinct,3,35,35,35
Precinct,4,29,29,29
Precinct,5,64,64,64
Precinct,7,22,22,22
Precinct,8,45,45,45
Precinct,9,12,12,12
Precinct,10,12,12,12
Precinct,11,15,15,15
Precinct,12,21,21,21
Precinct,13,16,16,16
Precinct,14,24,24,24
Precinct,15,47,47,47
Precinct,16,63,63,63
Precinct,17,22,22,22
Precinct,18,15,15,15
Precinct,19,15,15,15
Precinct,20,34,34,34
Precinct,21,58,58,58
Precinct,22,59,59,59
Precinct,Voter Privacy,0,0,0
County,Curry,501,501,501
Precinct,1,*,0,0
Precinct,2,*,0,0
Precinct,3,*,*,5
Precinct,4,19,19,19
Precinct,5,6,6,6
Precinct,6,10,10,10
Precinct,7,17,17,17
Precinct,8,22,22,22
Precinct,9,22,22,22
Precinct,10,8,8,8
Precinct,11,22,22,22
Precinct,12,27,27,27
Precinct,13,20,20,20
Precinct,14,15,15,15
Precinct,15,21,21,21
Precinct,16,*,0,0
Precinct,17,13,13,13
Precinct,18,11,11,11
Precinct,19,18,18,18
Precinct,20,21,21,21
Precinct,21,*,*,5
Precinct,22,*,*,5
Precinct,23,15,15,15
Precinct,24,13,13,13
Precinct,25,7,7,7
Precinct,26,*,0,0
Precinct,27,10,10,10
Precinct,28,12,12,12
Precinct,29,16,16,16
Precinct,30,*,0,0
Precinct,31,11,11,11
Precinct,32,12,12,12
Precinct,33,17,17,17
Precinct,34,*,0,0
Precinct,35,12,12,12
Precinct,36,*,0,0
Precinct,37,12,12,12
Precinct,38,12,12,12
Precinct,39,17,17,17
Precinct,40,13,13,13
Precinct,41,*,*,5
Precinct,42,8,8,8
Precinct,43,10,10,10
Precinct,Voter Privacy,12,12,12
County,De Baca,59,59,59
Precinct,1,*,0,0
Precinct,2,21,21,21
Precinct,3,22,22,22
Precinct,4,14,14,14
Precinct,Voter Privacy,*,*,2
County,Dona Ana,9019,9019,9019
Precinct,1,20,20,20
Precinct,2,22,22,22
Precinct,3,17,17,17
Precinct,4,57,57,57
Precinct,5,20,20,20
Precinct,6,26,26,26
Precinct,7,72,72,72
Precinct,8,30,30,30
Precinct,9,12,12,12
Precinct,10,*,*,5
Precinct,11,35,35,35
Precinct,12,18,18,18
Precinct,13,15,15,15
Precinct,14,38,38,38
Precinct,15,19,19,19
Precinct,16,57,57,57
Precinct,17,57,57,57
Precinct,18,120,120,120
Precinct,19,72,72,72
Precinct,20,66,66,66
Precinct,21,45,45,45
Precinct,22,59,59,59
Precinct,23,38,38,38
Precinct,24,67,67,67
Precinct,25,54,54,54
Precinct,26,61,61,61
Precinct,27,53,53,53
Precinct,28,71,71,71
Precinct,29,26,26,26
Precinct,30,73,73,73
Precinct,31,78,78,78
Precinct,32,13,13,13
Precinct,33,57,57,57
Precinct,34,38,38,38
Precinct,35,34,34,34
Precinct,36,33,33,33
Precinct,37,92,92,92
Precinct,38,9,9,9
Precinct,39,75,75,75
Precinct,40,61,61,61
Precinct,41,38,38,38
Precinct,42,24,24,24
Precinct,43,23,23,23
Precinct,44,37,37,37
Precinct,45,37,37,37
Precinct,46,31,31,31
Precinct,47,50,50,50
Precinct,48,48,48,48
Precinct,49,38,38,38
Precinct,50,15,15,15
Precinct,51,40,40,40
Precinct,52,24,24,24
Precinct,53,40,40,40
Precinct,54,*,*,5
Precinct,55,62,62,62
Precinct,56,85,85,85
Precinct,57,93,93,93
Precinct,58,*,0,0
Precinct,59,70,70,70
Precinct,60,8,8,8
Precinct,61,65,65,65
Precinct,62,28,28,28
Precinct,63,68,68,68
Precinct,64,10,10,10
Precinct,65,11,11,11
Precinct,66,50,50,50
Precinct,67,97,97,97
Precinct,68,27,27,27
Precinct,69,56,56,56
Precinct,70,40,40,40
Precinct,71,72,72,72
Precinct,72,24,24,24
Precinct,73,82,82,82
Precinct,74,16,16,16
Precinct,75,23,23,23
Precinct,76,21,21,21
Precinct,77,48,48,48
Precinct,78,56,56,56
Precinct,79,41,41,41
Precinct,80,36,36,36
Precinct,81,12,12,12
Precinct,82,41,41,41
Precinct,83,63,63,63
Precinct,84,66,66,66
Precinct,85,63,63,63
Precinct,86,88,88,88
Precinct,87,38,38,38
Precinct,88,37,37,37
Precinct,89,82,82,82
Precinct,90,72,72,72
Precinct,91,54,54,54
Precinct,92,24,24,24
Precinct,93,11,11,11
Precinct,94,29,29,29
Precinct,95,6,6,6
Precinct,96,66,66,66
Precinct,97,26,26,26
Precinct,98,51,51,51
Precinct,99,79,79,79
Precinct,100,45,45,45
Precinct,101,59,59,59
Precinct,102,95,95,95
Precinct,103,65,65,65
Precinct,104,72,72,72
Precinct,105,99,99,99
Precinct,106,74,74,74
Precinct,107,107,107,107
Precinct,108,64,64,64
Precinct,109,81,81,81
Precinct,110,102,102,102
Precinct,111,*,0,0
Precinct,112,82,82,82
Precinct,113,120,120,120
Precinct,114,76,76,76
Precinct,115,34,34,34
Precinct,116,98,98,98
Precinct,117,36,36,36
Precinct,118,40,40,40
Precinct,119,24,24,24
Precinct,120,8,8,8
Precinct,121,26,26,26
Precinct,122,39,39,39
Precinct,123,46,46,46
Precinct,124,48,48,48
Precinct,125,69,69,69
Precinct,126,68,68,68
Precinct,127,71,71,71
Precinct,128,37,37,37
Precinct,129,37,37,37
Precinct,130,80,80,80
Precinct,131,35,35,35
Precinct,132,46,46,46
Precinct,133,33,33,33
Precinct,134,22,22,22
Precinct,135,60,60,60
Precinct,136,62,62,62
Precinct,137,63,63,63
Precinct,138,41,41,41
Precinct,139,95,95,95
Precinct,140,56,56,56
Precinct,141,116,116,116
Precinct,142,46,46,46
Precinct,143,117,117,117
Precinct,144,23,23,23
Precinct,145,8,8,8
Precinct,146,36,36,36
Precinct,147,19,19,19
Precinct,148,96,96,96
Precinct,149,89,89,89
