,,Melanie Ann Stansbury,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,141,32,32,32
Precinct,142,29,29,29
Precinct,143,66,66,66
Precinct,144,10,10,10
Precinct,145,32,32,32
Precinct,146,20,20,20
Precinct,147,36,36,36
Precinct,148,37,37,37
Precinct,150,46,46,46
Precinct,151,7,7,7
Precinct,153,88,88,88
Precinct,154,54,54,54
Precinct,155,39,39,39
Precinct,156,87,87,87
Precinct,157,26,26,26
Precinct,Voter Privacy,0,0,0
County,Santa Fe,389,389,389
Precinct,15,32,32,32
Precinct,18,13,13,13
Precinct,73,55,55,55
Precinct,84,56,56,56
Precinct,85,33,33,33
Precinct,115,51,51,51
Precinct,125,44,44,44
Precinct,148,41,41,41
Precinct,156,30,30,30
Precinct,157,34,34,34
Precinct,Voter Privacy,0,0,0
County,Torrance,576,576,576
Precinct,1,38,38,38
Precinct,2,8,8,8
Precinct,3,21,21,21
Precinct,4,27,27,27
Precinct,5,45,45,45
Precinct,6,43,43,43
Precinct,7,29,29,29
Precinct,8,16,16,16
Precinct,9,49,49,49
Precinct,10,26,26,26
Precinct,11,13,13,13
Precinct,12,10,10,10
Precinct,13,58,58,58
Precinct,14,*,0,0
Precinct,15,16,16,16
Precinct,16,31,31,31
Precinct,17,22,22,22
Precinct,18,35,35,35
Precinct,19,14,14,14
Precinct,20,20,20,20
Precinct,21,25,25,25
Precinct,22,28,28,28
Precinct,Voter Privacy,*,*,2
County,Valencia,1165,1165,1165
Precinct,4,49,49,49
Precinct,5,37,37,37
Precinct,6,54,54,54
Precinct,8,24,24,24
Precinct,9,75,75,75
Precinct,10,55,55,55
Precinct,11,57,57,57
Precinct,14,80,80,80
Precinct,15,43,43,43
Precinct,16,23,23,23
Precinct,18,51,51,51
Precinct,22,46,46,46
Precinct,24,*,0,0
Precinct,28,18,18,18
Precinct,30,35,35,35
Precinct,32,35,35,35
Precinct,36,35,35,35
Precinct,38,36,36,36
Precinct,45,48,48,48
Precinct,49,21,21,21
Precinct,50,19,19,19
Precinct,56,30,30,30
Precinct,57,64,64,64
Precinct,58,44,44,44
Precinct,60,88,88,88
Precinct,61,40,40,40
Precinct,62,38,38,38
Precinct,63,19,19,19
Precinct,Voter Privacy,*,*,1
