"County","County Name","Office Name","Office District","Candidate Name","Party","Winner","Congressional District 1","Congressional District 2","Congressional District 3","Congressional District 4","Congressional District 5","Congressional District 6","Congressional District 7","Congressional District 8" 
"02","Anne Arundel County","Judge Circuit Court","Anne Arundel County Circuit Court 05","Christine Marie Celeste","DEM","Y","","","20729","","8387","","","" 
"02","Anne Arundel County","Judge Circuit Court","Anne Arundel County Circuit Court 05","Ginina A. Jackson-Stevenson","DEM","Y","","","18104","","7716","","","" 
"02","Anne Arundel County","Judge Circuit Court","Anne Arundel County Circuit Court 05","John Robinson","DEM","","","","3889","","1390","","","" 
"14","Howard County","Judge Circuit Court","Howard County Circuit Court 05","Lara Weathersbee","DEM","Y","","","34523","","","","","" 
"11","Frederick County","Judge Circuit Court","Frederick County Circuit Court 06","Joanmarie Raymond Brubaker","DEM","Y","","","","","","18463","","" 
"16","Montgomery County","Judge Circuit Court","Montgomery County Circuit Court 06","Marybeth Ayres","DEM","Y","","","","2282","","14000","","75512" 
"16","Montgomery County","Judge Circuit Court","Montgomery County Circuit Court 06","Jennifer S. Fairfax","DEM","Y","","","","2276","","14046","","75879" 
"16","Montgomery County","Judge Circuit Court","Montgomery County Circuit Court 06","Louis M. Leibowitz","DEM","Y","","","","1902","","12074","","70314" 
"16","Montgomery County","Judge Circuit Court","Montgomery County Circuit Court 06","J. Bradford McCullough","DEM","Y","","","","1785","","11172","","63026" 
"16","Montgomery County","Judge Circuit Court","Montgomery County Circuit Court 06","Marylin Pierre","DEM","","","","","1804","","9313","","37418" 
"17","Prince George's County","Judge Circuit Court","Prince George's County Circuit Court 07","Darren Sebastian Johnson","DEM","Y","","","","52007","33718","","","2" 
"17","Prince George's County","Judge Circuit Court","Prince George's County Circuit Court 07","Stenise LaNez Rolle","DEM","Y","","","","41846","28765","","","0" 
"17","Prince George's County","Judge Circuit Court","Prince George's County Circuit Court 07","Michael Sheehan","DEM","","","","","27114","15602","","","2" 
"17","Prince George's County","Judge Circuit Court","Prince George's County Circuit Court 07","Cheri Nicole Simpkins","DEM","Y","","","","56100","36786","","","2" 
"17","Prince George's County","Judge Circuit Court","Prince George's County Circuit Court 07","Donnell Wilfred Turner","DEM","Y","","","","47309","31611","","","2" 
"19","Saint Mary's County","Judge Circuit Court","Saint Mary's County Circuit Court 07","Sue Ann Armitage","DEM","","","","","","3210","","","" 
"19","Saint Mary's County","Judge Circuit Court","Saint Mary's County Circuit Court 07","Amy Lorenzini","DEM","Y","","","","","3847","","","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Nicole K. Barmore","DEM","Y","","4486","","","","","49626","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Yvette Michelle Bryant","DEM","Y","","4520","","","","","51140","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Paul J. Cucuzzella","DEM","Y","","4239","","","","","41414","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Troy K. Hill","DEM","Y","","4231","","","","","45405","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Alan Carl Lazerow","DEM","Y","","4244","","","","","41228","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","La Zette C. Ringgold-Kirksey","DEM","Y","","4292","","","","","43473","" 
"03","Baltimore City","Judge Circuit Court","Baltimore City Circuit Court 08","Martin H. Schreiber, II","DEM","Y","","4250","","","","","42243","" 
"00","State of Maryland","Democratic Delegates","01","Laurie Anne Brittingham (Biden)","DEM","Y","40990","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Matthew Cody (Biden)","DEM","Y","35586","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Mike Comeau (Uncommitted)","DEM","","8020","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Michele W. Dappert (Biden)","DEM","Y","38767","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Mohammad Idrees Munir (Uncommitted)","DEM","","6146","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Connor A. Romblad (Biden)","DEM","Y","33049","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Sheree Sample-Hughes (Biden)","DEM","Y","39161","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Jared Schablein (Biden)","DEM","Y","32086","","","","","","","" 
"00","State of Maryland","Democratic Delegates","01","Qudrat U. Tariq (Uncommitted)","DEM","","4895","","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Ruben Amaya (Biden)","DEM","Y","","59040","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Lela Blue-Campbell (Biden)","DEM","Y","","65293","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Robert C. Brooking (Williamson)","DEM","","","14872","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Corynne B. Courpas (Biden)","DEM","Y","","63167","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Alex Friedman (Biden)","DEM","Y","","58794","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Shelly L. Hettleman (Biden)","DEM","Y","","68212","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Sharonda L. Huffman (Biden)","DEM","Y","","63324","","","","","","" 
"00","State of Maryland","Democratic Delegates","02","Louis Gregory Pecoraro (Biden)","DEM","Y","","53514","","","","","","" 
"00","State of Maryland","Democratic Delegates","03","Dylan Behler (Biden)","DEM","Y","","","53103","","","","","" 
"00","State of Maryland","Democratic Delegates","03","Jennifer Chang (Biden)","DEM","Y","","","64075","","","","","" 
"00","State of Maryland","Democratic Delegates","03","Freddie Donald Dickson, Jr. (Phillips)","DEM","","","","14092","","","","","" 
"00","State of Maryland","Democratic Delegates","03","Guy Guzzone (Biden)","DEM","Y","","","55330","","","","","" 
