term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
mean,0.001352927197,0.0,0.001352927197,0.275318147335,-1.0,1.275318147335,1.276671074532,hot
elites,0.001204661203,0.0,0.001204661203,0.275318147335,-1.0,1.275318147335,1.276522808538,hot
deep,0.001127439331,0.0,0.001127439331,0.275318147335,-1.0,1.275318147335,1.276445586666,hot
strikes,0.001127439331,0.0,0.001127439331,0.275318147335,-1.0,1.275318147335,1.276445586666,hot
ground,0.001099253347,0.0,0.001099253347,0.275318147335,-1.0,1.275318147335,1.276417400683,hot
mutual,0.003873591135,0.0,0.003873591135,0.23744976904,-1.0,1.23744976904,1.241323360175,hot
genocide,0.002213480649,0.0,0.002213480649,0.23744976904,-1.0,1.23744976904,1.239663249689,hot
floor,0.001495070263,0.0,0.001495070263,0.23744976904,-1.0,1.23744976904,1.238944839303,hot
carceral,0.001397032868,0.0,0.001397032868,0.23744976904,-1.0,1.23744976904,1.238846801909,hot
billionaires,0.001317390021,0.0,0.001317390021,0.20807677286,-1.0,1.20807677286,1.209394162881,hot
arkansas,0.0,0.010791944313,-0.010791944313,-1.0,0.175967269973,-1.175967269973,-1.186759214286,cold
believe,0.0,0.012851986074,-0.012851986074,-1.0,0.167091977633,-1.167091977633,-1.179943963707,cold
nebraska,0.0,0.009233472938,-0.009233472938,-1.0,0.153118660971,-1.153118660971,-1.162352133909,cold
schools,0.0,0.010089619232,-0.010089619232,-1.0,0.138230672328,-1.138230672328,-1.14832029156,cold
ones,0.001000652242,0.0,0.001000652242,0.146208909212,-1.0,1.146208909212,1.147209561455,hot
arkansans,0.0,0.004164187079,-0.004164187079,-1.0,0.135852166322,-1.135852166322,-1.140016353401,cold
quality,0.0,0.007733768152,-0.007733768152,-1.0,0.114828154059,-1.114828154059,-1.122561922211,cold
water,0.0,0.010115134743,-0.010115134743,-1.0,0.105926263581,-1.105926263581,-1.116041398325,cold
delaware,0.0,0.00372116182,-0.00372116182,-1.0,0.110082339578,-1.110082339578,-1.113803501398,cold
michigan,0.0,0.006916746618,-0.006916746618,-1.0,0.106826573193,-1.106826573193,-1.113743319811,cold
educators,0.0,0.003443498749,-0.003443498749,-1.0,0.106764499685,-1.106764499685,-1.110207998434,cold
2018,0.0,0.002434783966,-0.002434783966,-1.0,0.104131414077,-1.104131414077,-1.106566198043,cold
educational,0.0,0.004862685375,-0.004862685375,-1.0,0.100642350242,-1.100642350242,-1.105505035617,cold
natural,0.0,0.003682236122,-0.003682236122,-1.0,0.098748200122,-1.098748200122,-1.102430436245,cold
classroom,0.0,0.001470421333,-0.001470421333,-1.0,0.100850130202,-1.100850130202,-1.102320551535,cold
student,0.0,0.005225790334,-0.005225790334,-1.0,0.094827006423,-1.094827006423,-1.100052796757,cold
teacher,0.0,0.001449813357,-0.001449813357,-1.0,0.098495413427,-1.098495413427,-1.099945226784,cold
secondary,0.0,0.001550170348,-0.001550170348,-1.0,0.09725767114,-1.09725767114,-1.098807841488,cold
belief,0.0,0.001426245651,-0.001426245651,-1.0,0.09725767114,-1.09725767114,-1.098683916791,cold
idaho,0.0,0.002362941572,-0.002362941572,-1.0,0.095973754951,-1.095973754951,-1.098336696522,cold
lakes,0.0,0.001556411293,-0.001556411293,-1.0,0.094638191721,-1.094638191721,-1.096194603014,cold
learning,0.0,0.003819646888,-0.003819646888,-1.0,0.09177320907,-1.09177320907,-1.095592855958,cold
forest,0.0,0.001134576526,-0.001134576526,-1.0,0.091784401337,-1.091784401337,-1.092918977863,cold
rivers,0.0,0.001016177819,-0.001016177819,-1.0,0.091784401337,-1.091784401337,-1.092800579157,cold
educating,0.0,0.001009363065,-0.001009363065,-1.0,0.091784401337,-1.091784401337,-1.092793764403,cold
zip,0.0,0.000979599191,-0.000979599191,-1.0,0.091784401337,-1.091784401337,-1.092764000528,cold
teach,0.0,0.000852420143,-0.000852420143,-1.0,0.091784401337,-1.091784401337,-1.09263682148,cold
caucuses,0.0,0.002328266912,-0.002328266912,-1.0,0.090248281232,-1.090248281232,-1.092576548143,cold
woman,0.0,0.001691929654,-0.001691929654,-1.0,0.089825136016,-1.089825136016,-1.091517065669,cold
fresh,0.0,0.001035257799,-0.001035257799,-1.0,0.090248281232,-1.090248281232,-1.091283539031,cold
gaps,0.0,0.00097035576,-0.00097035576,-1.0,0.090248281232,-1.090248281232,-1.091218636991,cold
recycling,0.0,0.001117033527,-0.001117033527,-1.0,0.088623597189,-1.088623597189,-1.089740630715,cold
expect,0.0,0.00096218485,-0.00096218485,-1.0,0.088623597189,-1.088623597189,-1.089585782039,cold
stem,0.0,0.000959509494,-0.000959509494,-1.0,0.088623597189,-1.088623597189,-1.089583106682,cold
fields,0.0,0.000911792569,-0.000911792569,-1.0,0.088623597189,-1.088623597189,-1.089535389758,cold
biodiversity,0.0,0.000861770178,-0.000861770178,-1.0,0.088623597189,-1.088623597189,-1.089485367367,cold
lansing,0.0,0.000838100739,-0.000838100739,-1.0,0.088623597189,-1.088623597189,-1.089461697928,cold
2016,0.0,0.002423337808,-0.002423337808,-1.0,0.086479381056,-1.086479381056,-1.088902718863,cold
waste,0.0,0.002535540323,-0.002535540323,-1.0,0.086153518941,-1.086153518941,-1.088689059264,cold
