term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
brooklyn,0.001101515539,0.0,0.001101515539,0.085633260783,-1.0,1.085633260783,1.086734776322,hot
homeowners,0.00103085524,0.0,0.00103085524,0.085633260783,-1.0,1.085633260783,1.086664116023,hot
opposed,0.001016482839,0.0,0.001016482839,0.085633260783,-1.0,1.085633260783,1.086649743623,hot
investors,0.000843963113,0.0,0.000843963113,0.085633260783,-1.0,1.085633260783,1.086477223896,hot
adequate,0.000687034872,0.0,0.000687034872,0.085633260783,-1.0,1.085633260783,1.086320295655,hot
women,0.0,0.00240257343,-0.00240257343,-1.0,0.083040996697,-1.083040996697,-1.085443570126,cold
challenges,0.0,0.002402059588,-0.002402059588,-1.0,0.083040996697,-1.083040996697,-1.085443056285,cold
armed,0.0,0.001826447738,-0.001826447738,-1.0,0.083562215871,-1.083562215871,-1.085388663609,cold
revenue,0.002603899552,0.0,0.002603899552,0.080552241902,-1.0,1.080552241902,1.083156141454,hot
pennsylvania,0.002543316542,0.0,0.002543316542,0.080552241902,-1.0,1.080552241902,1.083095558444,hot
jail,0.001207772178,0.0,0.001207772178,0.080552241902,-1.0,1.080552241902,1.081760014079,hot
patients,0.0,0.002022289952,-0.002022289952,-1.0,0.0774909832,-1.0774909832,-1.079513273152,cold
near,0.0,0.001895036781,-0.001895036781,-1.0,0.0774909832,-1.0774909832,-1.079386019981,cold
key,0.0,0.001540011352,-0.001540011352,-1.0,0.0774909832,-1.0774909832,-1.079030994552,cold
rural,0.0,0.001374767766,-0.001374767766,-1.0,0.0774909832,-1.0774909832,-1.078865750966,cold
coalition,0.0,0.00121548996,-0.00121548996,-1.0,0.0774909832,-1.0774909832,-1.07870647316,cold
equality,0.0,0.001150667861,-0.001150667861,-1.0,0.0774909832,-1.0774909832,-1.07864165106,cold
someone,0.0,0.001748256664,-0.001748256664,-1.0,0.076862661709,-1.076862661709,-1.078610918373,cold
proven,0.0,0.001057977642,-0.001057977642,-1.0,0.0774909832,-1.0774909832,-1.078548960842,cold
colleagues,0.0,0.000974706615,-0.000974706615,-1.0,0.0774909832,-1.0774909832,-1.078465689815,cold
earth,0.0,0.000690823365,-0.000690823365,-1.0,0.0774909832,-1.0774909832,-1.078181806565,cold
technology,0.0,0.001979924816,-0.001979924816,-1.0,0.072103788672,-1.072103788672,-1.074083713488,cold
left,0.0,0.001786289818,-0.001786289818,-1.0,0.068672196413,-1.068672196413,-1.070458486231,cold
greater,0.0,0.001602152206,-0.001602152206,-1.0,0.068672196413,-1.068672196413,-1.070274348619,cold
options,0.0,0.001530293244,-0.001530293244,-1.0,0.068672196413,-1.068672196413,-1.070202489657,cold
look,0.0,0.002502998955,-0.002502998955,-1.0,0.065879825985,-1.065879825985,-1.068382824939,cold
party,0.0,0.002486767008,-0.002486767008,-1.0,0.063203512918,-1.063203512918,-1.065690279926,cold
goals,0.0,0.002430465787,-0.002430465787,-1.0,0.063203512918,-1.063203512918,-1.065633978705,cold
dollars,0.0,0.002951658432,-0.002951658432,-1.0,0.060738525689,-1.060738525689,-1.063690184121,cold
heat,0.001652206528,0.0,0.001652206528,0.060481363663,-1.0,1.060481363663,1.06213357019,hot
worked,0.000757041682,0.0,0.000757041682,0.056572567615,-1.0,1.056572567615,1.057329609297,hot
barriers,0.000658200298,0.0,0.000658200298,0.056572567615,-1.0,1.056572567615,1.057230767913,hot
box,0.0,0.001274072471,-0.001274072471,-1.0,0.055738160549,-1.055738160549,-1.057012233021,cold
professionals,0.0,0.001206939326,-0.001206939326,-1.0,0.055738160549,-1.055738160549,-1.056945099875,cold
happening,0.0,0.001052166292,-0.001052166292,-1.0,0.055738160549,-1.055738160549,-1.056790326841,cold
talking,0.0,0.000990061634,-0.000990061634,-1.0,0.055738160549,-1.055738160549,-1.056728222183,cold
