term,endorsed_score,opponent_score,difference
step,0.00279250,0.00131954,0.00147297
great,0.00022580,0.00169867,-0.00147287
giveaway,0.00162358,0.00015353,0.00147005
big,0.00298229,0.00445021,-0.00146792
right-to-work,0.00146639,0.00000000,0.00146639
strip,0.00146358,0.00000000,0.00146358
current,0.00312923,0.00166579,0.00146344
nuclear,0.00000000,0.00146302,-0.00146302
contract,0.00197699,0.00051586,0.00146114
gotten,0.00029729,0.00175401,-0.00145672
uses,0.00008400,0.00153866,-0.00145467
along,0.00046716,0.00191840,-0.00145124
fairfax,0.00238082,0.00092960,0.00145122
black,0.00245055,0.00099943,0.00145112
main,0.00000000,0.00145102,-0.00145102
necessary,0.00193966,0.00338953,-0.00144988
using,0.00083820,0.00228756,-0.00144936
primarily,0.00000000,0.00144825,-0.00144825
around,0.00180522,0.00325318,-0.00144796
start,0.00096788,0.00241122,-0.00144334
they're,0.00104883,0.00248377,-0.00143494
subsidize,0.00019254,0.00162740,-0.00143486
genocide,0.00143466,0.00000000,0.00143466
reduce,0.00183977,0.00327266,-0.00143289
queer,0.00143018,0.00000000,0.00143018
rent_control,0.00142412,0.00000000,0.00142412
shahana,0.00000000,0.00142148,-0.00142148
planet,0.00159340,0.00301165,-0.00141825
achieve,0.00190037,0.00048447,0.00141590
precinct,0.00143637,0.00002186,0.00141451
health,0.00631457,0.00490324,0.00141133
jacking,0.00154110,0.00013030,0.00141081
deliver,0.00023867,0.00164854,-0.00140987
dollar,0.00442481,0.00301601,0.00140880
ensured,0.00009831,0.00150652,-0.00140821
williamson,0.00000000,0.00140806,-0.00140806
rich,0.00200324,0.00059661,0.00140663
fundamentally,0.00005232,0.00145875,-0.00140643
accrue,0.00000000,0.00140436,-0.00140436
wholesale,0.00000000,0.00140436,-0.00140436
bennett,0.00140060,0.00000000,0.00140060
juliana,0.00140060,0.00000000,0.00140060
prevent,0.00274959,0.00134943,0.00140017
last,0.00293695,0.00153795,0.00139900
society,0.00248213,0.00108368,0.00139845
kiro,0.00139759,0.00000000,0.00139759
longer,0.00222458,0.00082707,0.00139751
bail,0.00147745,0.00008029,0.00139716
aging,0.00146365,0.00006851,0.00139514
confidence,0.00000000,0.00138872,-0.00138872
poor,0.00217167,0.00078318,0.00138849
parental,0.00138727,0.00000000,0.00138727
use,0.00381058,0.00242494,0.00138564
suffer,0.00148310,0.00009789,0.00138521
protesting,0.00138502,0.00000000,0.00138502
foreign,0.00009130,0.00147618,-0.00138488
tran,0.00144943,0.00006621,0.00138322
came,0.00191063,0.00053152,0.00137912
truly,0.00209687,0.00071798,0.00137889
ticket,0.00000000,0.00137463,-0.00137463
repeal,0.00193733,0.00056352,0.00137381
met,0.00003524,0.00140716,-0.00137192
sharing,0.00143372,0.00006586,0.00136785
wallet,0.00136560,0.00000000,0.00136560
charge,0.00080692,0.00217198,-0.00136505
bailey,0.00000000,0.00136306,-0.00136306
bed-stuy,0.00000000,0.00136306,-0.00136306
michael,0.00000000,0.00136306,-0.00136306
min,0.00000000,0.00136306,-0.00136306
case,0.00110631,0.00246332,-0.00135701
anxiety,0.00000000,0.00135338,-0.00135338
vehicle,0.00168936,0.00033636,0.00135300
sought,0.00152685,0.00017535,0.00135150
especially,0.00225228,0.00090102,0.00135127
terrible,0.00000000,0.00135126,-0.00135126
remaining,0.00151052,0.00015934,0.00135118
upon,0.00184939,0.00049885,0.00135054
transparency,0.00072878,0.00207756,-0.00134878
plant,0.00156237,0.00021388,0.00134849
premium,0.00195446,0.00060600,0.00134846
jame,0.00000000,0.00134723,-0.00134723
signing,0.00000000,0.00134358,-0.00134358
share,0.00370133,0.00235794,0.00134339
hanadi,0.00000000,0.00134330,-0.00134330
larimer,0.00155350,0.00021088,0.00134261
abortion,0.00208595,0.00074355,0.00134240
erika,0.00133996,0.00000000,0.00133996
saving,0.00184376,0.00050572,0.00133804
bad,0.00136784,0.00003137,0.00133647
mental,0.00351348,0.00218131,0.00133218
opposition,0.00000000,0.00133117,-0.00133117
first-time,0.00000000,0.00133064,-0.00133064
build,0.00381431,0.00514171,-0.00132740
having,0.00098894,0.00231460,-0.00132565
earl,0.00000000,0.00132411,-0.00132411
shortchanged,0.00000000,0.00132411,-0.00132411
won,0.00176089,0.00043773,0.00132316
tool,0.00045152,0.00177414,-0.00132262
push,0.00174920,0.00042791,0.00132129
throughout,0.00116620,0.00248457,-0.00131837
association,0.00152265,0.00020629,0.00131636
century,0.00006819,0.00138324,-0.00131506
dean,0.00000000,0.00131339,-0.00131339
roof,0.00000000,0.00131281,-0.00131281
generation,0.00143433,0.00274629,-0.00131196
whatever,0.00012433,0.00142933,-0.00130500
particularly,0.00039428,0.00169830,-0.00130401
quote,0.00000000,0.00130379,-0.00130379
rooted,0.00150278,0.00020088,0.00130191
behind,0.00163480,0.00033362,0.00130118
affordable,0.00298218,0.00428016,-0.00129798
career,0.00094569,0.00223983,-0.00129414
sentence,0.00136745,0.00007382,0.00129363
etc,0.00138094,0.00008765,0.00129328
talking,0.00215920,0.00086598,0.00129322
stabilization,0.00141333,0.00012446,0.00128887
travesty,0.00000000,0.00128733,-0.00128733
mitayne,0.00128145,0.00000000,0.00128145
demonstrated,0.00012447,0.00140460,-0.00128013
general,0.00196308,0.00068339,0.00127969
defending,0.00151737,0.00023900,0.00127837
someone,0.00214339,0.00086557,0.00127782
exploitation,0.00134317,0.00006741,0.00127576
nevada,0.00121874,0.00249394,-0.00127520
requirement,0.00164816,0.00037391,0.00127424
relationship,0.00038170,0.00165524,-0.00127353
info,0.00202051,0.00074726,0.00127324
session,0.00004096,0.00131185,-0.00127089
calculator,0.00127005,0.00000000,0.00127005
county-which,0.00127005,0.00000000,0.00127005
mit,0.00127005,0.00000000,0.00127005
