feature,endorsed_count,opponent_count,z_score,favored_group
pay,27,42,1.372578,endorsed
specifically,0,12,-1.369693,opponent
universal rent_control,6,0,1.367771,endorsed
immigrant,22,33,1.360271,endorsed
cash bail,8,9,1.354567,endorsed
finance,8,9,1.354567,endorsed
health clinic,8,9,1.354567,endorsed
politician,8,9,1.354567,endorsed
win,8,9,1.354567,endorsed
process,9,33,-1.348664,opponent
economic,29,46,1.346808,endorsed
instead,18,26,1.342344,endorsed
