feature,endorsed_documents,opponent_documents,endorsed_share,opponent_share,difference
identify,38,95,0.077710,0.112693,-0.034983
car,27,76,0.055215,0.090154,-0.034939
defense,27,76,0.055215,0.090154,-0.034939
apr,31,24,0.063395,0.028470,0.034925
displacement,42,43,0.085890,0.051008,0.034881
common sense,5,38,0.010225,0.045077,-0.034852
dignified,24,12,0.049080,0.014235,0.034845
high school,52,119,0.106339,0.141163,-0.034823
expert,23,69,0.047035,0.081851,-0.034816
endorsement donate,17,0,0.034765,0.000000,0.034765
governor,59,131,0.120654,0.155397,-0.034743
solid,8,43,0.016360,0.051008,-0.034648
location,26,74,0.053170,0.087782,-0.034612
absolutely,43,45,0.087935,0.053381,0.034554
inequality,43,45,0.087935,0.053381,0.034554
equity,62,136,0.126789,0.161329,-0.034539
rent stabilization,25,14,0.051125,0.016607,0.034517
low,51,117,0.104294,0.138790,-0.034496
i'd,22,67,0.044990,0.079478,-0.034488
thing,116,229,0.237219,0.271649,-0.034430
commercial,29,79,0.059305,0.093713,-0.034408
meet,134,260,0.274029,0.308422,-0.034394
gaza,22,9,0.044990,0.010676,0.034314
top,141,272,0.288344,0.322657,-0.034314
professional,61,134,0.124744,0.158956,-0.034212
housing justice,19,4,0.038855,0.004745,0.034110
israel,30,23,0.061350,0.027284,0.034066
mark,17,58,0.034765,0.068802,-0.034037
ocasio-cortez,27,18,0.055215,0.021352,0.033862
moving,38,94,0.077710,0.111507,-0.033797
taxpayer,27,75,0.055215,0.088968,-0.033753
video,27,75,0.055215,0.088968,-0.033753
working,223,356,0.456033,0.422301,0.033731
civil,71,94,0.145194,0.111507,0.033688
character,5,37,0.010225,0.043891,-0.033666
recycling,5,37,0.010225,0.043891,-0.033666
only way,24,13,0.049080,0.015421,0.033659
much,128,249,0.261759,0.295374,-0.033615
three,99,199,0.202454,0.236062,-0.033608
utility,46,51,0.094070,0.060498,0.033571
active,57,70,0.116564,0.083037,0.033528
operation,37,92,0.075665,0.109134,-0.033469
housing affordability,15,54,0.030675,0.064057,-0.033382
speaker,15,54,0.030675,0.064057,-0.033382
program,196,366,0.400818,0.434164,-0.033346
protection,130,196,0.265849,0.232503,0.033346
exploitation,25,15,0.051125,0.017794,0.033331
closely,22,66,0.044990,0.078292,-0.033302
afford,94,134,0.192229,0.158956,0.033273
democratic party,47,53,0.096115,0.062871,0.033244
coalition,76,103,0.155419,0.122183,0.033237
data,105,153,0.214724,0.181495,0.033229
fifth,7,40,0.014315,0.047450,-0.033135
workforce development,7,40,0.014315,0.047450,-0.033135
protect,167,260,0.341513,0.308422,0.033091
critical,72,152,0.147239,0.180308,-0.033069
fairness,14,52,0.028630,0.061684,-0.033055
agency,68,145,0.139059,0.172005,-0.032945
know,173,326,0.353783,0.386714,-0.032931
represent,106,155,0.216769,0.183867,0.032902
nature,17,57,0.034765,0.067616,-0.032851
less,99,143,0.202454,0.169632,0.032822
confidence,6,38,0.012270,0.045077,-0.032807
stewardship,6,38,0.012270,0.045077,-0.032807
approval,13,50,0.026585,0.059312,-0.032727
home volunteer,16,0,0.032720,0.000000,0.032720
composting,2,31,0.004090,0.036773,-0.032683
kind,67,88,0.137014,0.104389,0.032625
http www,38,93,0.077710,0.110320,-0.032611
palestine,20,7,0.040900,0.008304,0.032596
water,74,155,0.151329,0.183867,-0.032538
we're,89,126,0.182004,0.149466,0.032538
entity,16,55,0.032720,0.065243,-0.032523
build,176,276,0.359918,0.327402,0.032516
open,121,236,0.247444,0.279953,-0.032509
voter registration,24,14,0.049080,0.016607,0.032472
racist,35,33,0.071575,0.039146,0.032429
bigger,12,48,0.024540,0.056940,-0.032400
step toward,17,2,0.034765,0.002372,0.032392
going,106,210,0.216769,0.249110,-0.032341
party,115,171,0.235174,0.202847,0.032327
chief,19,60,0.038855,0.071174,-0.032320
