Precinct_name,Reporting_flag,Pct_Id,Pct_seq_nbr,Reg_voters,Aggregation_ID,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,Candidate_State_ID,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Early Voting_ballots,Early Voting_votes,Early Voting_under_votes,Early Voting_over_votes,Question_ballots,Question_votes,Question_under_votes,Question_over_votes,Remote_ballots,Remote_votes,Remote_under_votes,Remote_over_votes,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",57,"Heikes, Gerald L.",C,5,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",6,"Hill, Sidney ""Sid""",C,6,"UND",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",92,"Kohlhaas, Scott A.",C,7,"LIB",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",93,"Leslie, David B.",C,8,"DEM",23,4,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",48,"Mayers, Richard B.",C,9,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",94,"McElwain, Heather",C,10,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",32,"Peltola, Mary",C,11,"DEM",23,15,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",95,"Roberts, Reece J.",C,12,"NON",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",96,"Saucerman, Shirley A.",C,13,"NON",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",97,"Southworth, Earl D. ""Skip""",C,14,"RAP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
